                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0217,                0.97134,                 1.3257,                0.91333,                0.81878,                0.91364,                0.66127,                 1.0254,                0.70258,                  1.308,               0.006535,               0.006535,               0.006535
                     37,                 1.0219,                0.95818,                 1.3259,                0.89954,                 0.8231,                  0.908,                0.66455,                 1.0108,                0.68508,                 1.2924,               0.006436,               0.006436,               0.006436
                     38,                 1.0146,                0.95733,                 1.3188,                0.89798,                0.83429,                 0.9103,                 0.6596,                 1.0226,                0.69032,                 1.2977,               0.006337,               0.006337,               0.006337
                     39,                 1.0115,                0.93347,                 1.3212,                0.90429,                0.84622,                0.91219,                  0.665,                  1.015,                0.67047,                 1.2911,               0.006238,               0.006238,               0.006238
                     40,                 1.0115,                0.93805,                  1.316,                0.90055,                0.85194,                0.91899,                0.66658,                 1.0153,                0.67795,                 1.2989,               0.006139,               0.006139,               0.006139
                     41,                 1.0015,                 0.9241,                 1.3095,                 0.8947,                0.84376,                 0.9162,                0.66936,                 1.0042,                0.67227,                 1.2888,                0.00604,                0.00604,                0.00604
                     42,                 1.0022,                0.92211,                 1.3101,                0.90118,                 0.8427,                0.91599,                0.66624,                 1.0198,                0.66714,                 1.2987,               0.005941,               0.005941,               0.005941
                     43,                0.99642,                0.90863,                 1.3071,                  0.904,                 0.8264,                0.91238,                0.66834,                 1.0126,                0.67079,                 1.2954,               0.005842,               0.005842,               0.005842
                     44,                0.98969,                0.90037,                 1.3033,                0.89681,                0.83939,                0.91691,                0.66935,                 1.0126,                0.66757,                 1.2926,               0.005743,               0.005743,               0.005743
                     45,                0.98788,                0.89548,                 1.2967,                 0.8972,                0.85521,                0.91636,                0.67159,                 1.0077,                0.66037,                 1.2887,               0.005644,               0.005644,               0.005644
                     46,                0.99318,                0.89687,                 1.2978,                0.90806,                 0.8471,                0.91711,                0.67622,                 1.0083,                0.65422,                 1.2886,               0.005545,               0.005545,               0.005545
                     47,                0.98635,                0.88982,                 1.3015,                0.90492,                0.84917,                0.91934,                0.67759,                 1.0057,                0.64701,                 1.2871,               0.005446,               0.005446,               0.005446
                     48,                0.98597,                0.87793,                 1.2899,                0.91037,                0.84899,                0.92013,                0.68045,                 1.0008,                0.64336,                 1.2789,               0.005347,               0.005347,               0.005347
                     49,                 0.9858,                0.88327,                 1.2903,                0.90805,                0.85643,                0.91831,                0.67555,                 1.0085,                 0.6491,                 1.2827,               0.005248,               0.005248,               0.005248
                     50,                0.97342,                0.86541,                 1.2805,                0.90827,                0.85533,                0.92044,                0.67545,                 1.0096,                0.64376,                 1.2814,               0.005149,               0.005149,               0.005149
                     51,                0.96607,                0.86219,                 1.2803,                0.91669,                0.85037,                0.92262,                0.67669,                 1.0066,                0.64501,                  1.283,                0.00505,                0.00505,                0.00505
                     52,                0.96916,                0.85229,                 1.2743,                 0.9074,                0.85722,                0.92094,                0.67824,                 1.0018,                 0.6289,                 1.2839,               0.004951,               0.004951,               0.004951
                     53,                0.96441,                0.85096,                 1.2745,                0.91687,                0.85178,                  0.923,                0.68043,                 1.0077,                 0.6261,                  1.288,               0.004852,               0.004852,               0.004852
                     54,                  0.964,                 0.8448,                 1.2776,                 0.9117,                0.85825,                0.92135,                0.67995,                 1.0049,                0.62489,                 1.2885,               0.004753,               0.004753,               0.004753
                     55,                0.95849,                0.83972,                 1.2698,                0.91174,                0.85966,                0.92263,                0.68281,                 0.9989,                0.61832,                 1.2826,               0.004654,               0.004654,               0.004654
                     56,                0.95952,                0.84411,                  1.272,                0.90216,                0.86318,                0.91797,                0.68363,                0.99915,                0.62267,                 1.2883,               0.004555,               0.004555,               0.004555
                     57,                0.95445,                0.82963,                 1.2654,                0.90485,                0.85997,                0.91971,                0.68085,                0.99829,                0.62463,                 1.2877,               0.004456,               0.004456,               0.004456
                     58,                0.94865,                0.82164,                 1.2657,                0.90671,                  0.872,                0.92191,                0.68406,                 1.0016,                0.62242,                 1.2882,               0.004357,               0.004357,               0.004357
                     59,                  0.945,                0.81686,                 1.2595,                0.91116,                0.86622,                0.92206,                0.68356,                 1.0034,                 0.6208,                 1.2878,               0.004258,               0.004258,               0.004258
                     60,                0.93767,                0.80866,                 1.2551,                0.91731,                0.85914,                0.92223,                0.68489,                 1.0034,                 0.6182,                 1.2896,               0.004159,               0.004159,               0.004159
                     61,                0.94258,                0.81214,                  1.258,                0.91893,                0.85727,                0.92179,                0.68398,                 1.0013,                0.61347,                 1.2874,                0.00406,                0.00406,                0.00406
                     62,                0.93928,                0.80726,                 1.2555,                0.91588,                0.86367,                 0.9228,                0.68523,                0.99649,                 0.6089,                 1.2835,               0.003961,               0.003961,               0.003961
                     63,                0.93348,                0.79537,                 1.2503,                0.91588,                0.85985,                0.91976,                0.68656,                0.99496,                0.60412,                 1.2823,               0.003862,               0.003862,               0.003862
                     64,                0.92896,                0.79349,                 1.2487,                0.91824,                0.86425,                0.91917,                0.68564,                0.99606,                0.60231,                 1.2837,               0.003763,               0.003763,               0.003763
                     65,                 0.9237,                0.78256,                 1.2434,                0.92069,                0.86847,                0.92236,                0.68692,                0.99588,                0.59927,                 1.2837,               0.003664,               0.003664,               0.003664
                     66,                0.92208,                0.78142,                 1.2409,                0.91842,                0.86534,                0.92093,                0.68599,                0.99824,                0.60231,                 1.2842,               0.003565,               0.003565,               0.003565
                     67,                0.92045,                0.77625,                  1.241,                0.91624,                0.86373,                 0.9207,                0.68595,                 0.9954,                0.60008,                 1.2799,               0.003466,               0.003466,               0.003466
                     68,                0.91438,                0.76698,                 1.2363,                0.92346,                0.86247,                0.92162,                0.68711,                0.99536,                0.59998,                 1.2816,               0.003367,               0.003367,               0.003367
                     69,                 0.9136,                0.76863,                 1.2356,                0.91867,                0.86398,                0.92321,                0.68794,                0.99627,                0.59889,                 1.2807,               0.003268,               0.003268,               0.003268
                     70,                0.90648,                0.74967,                 1.2274,                0.90889,                0.87056,                0.92431,                0.68756,                0.99803,                0.59499,                  1.281,               0.003169,               0.003169,               0.003169
                     71,                 0.9081,                0.76575,                 1.2274,                0.90576,                0.87449,                0.92387,                0.68782,                0.99846,                0.59344,                 1.2817,                0.00307,                0.00307,                0.00307
                     72,                 0.9089,                0.74631,                 1.2291,                0.91096,                0.87649,                0.92676,                0.68827,                0.99991,                0.59221,                 1.2821,               0.002971,               0.002971,               0.002971
                     73,                0.90862,                0.74793,                 1.2291,                0.91239,                0.87691,                0.92594,                0.68901,                 1.0003,                0.59238,                 1.2821,               0.002872,               0.002872,               0.002872
                     74,                0.89525,                 0.7401,                 1.2223,                0.91062,                0.87734,                0.92485,                 0.6897,                 1.0009,                 0.5922,                 1.2826,               0.002773,               0.002773,               0.002773
                     75,                0.89787,                0.73614,                 1.2158,                0.91454,                0.87529,                0.92548,                0.68917,                 1.0006,                0.59357,                 1.2825,               0.002674,               0.002674,               0.002674
                     76,                0.88641,                0.73387,                 1.2162,                0.91297,                0.87403,                0.92591,                0.68907,                 1.0006,                0.59312,                 1.2838,               0.002575,               0.002575,               0.002575
                     77,                0.88914,                0.73083,                 1.2175,                0.91124,                0.87484,                0.92589,                 0.6888,                 1.0019,                 0.5923,                 1.2854,               0.002476,               0.002476,               0.002476
                     78,                0.88258,                0.72783,                 1.2154,                0.91128,                0.87302,                0.92608,                0.68923,                  1.002,                0.59165,                 1.2861,               0.002377,               0.002377,               0.002377
                     79,                0.88383,                0.72405,                 1.2137,                0.91071,                 0.8732,                0.92579,                0.68954,                  1.002,                0.59242,                 1.2861,               0.002278,               0.002278,               0.002278
                     80,                0.87619,                0.71941,                 1.2051,                0.91001,                0.87367,                0.92576,                0.69094,                 1.0022,                0.59239,                 1.2871,               0.002179,               0.002179,               0.002179
                     81,                0.86755,                0.70704,                 1.2019,                0.91007,                0.87277,                0.92596,                0.69208,                 1.0005,                0.59194,                 1.2859,                0.00208,                0.00208,                0.00208
                     82,                0.86692,                0.70182,                 1.1994,                0.91094,                0.87356,                0.92645,                0.69113,                 1.0009,                0.59225,                 1.2866,               0.001981,               0.001981,               0.001981
                     83,                0.86381,                0.69995,                 1.2001,                0.91175,                0.87448,                0.92751,                0.69161,                  1.001,                0.59212,                 1.2867,               0.001882,               0.001882,               0.001882
                     84,                0.86577,                0.70005,                 1.2015,                0.91533,                0.87195,                0.92704,                0.69224,                 1.0006,                0.59107,                 1.2863,               0.001783,               0.001783,               0.001783
                     85,                0.86174,                0.68655,                 1.1938,                0.91616,                0.87237,                0.93019,                 0.6923,                 1.0005,                0.59148,                 1.2861,               0.001684,               0.001684,               0.001684
                     86,                0.85005,                0.67858,                 1.1885,                0.91485,                0.87462,                 0.9293,                0.69274,                0.99991,                0.59114,                 1.2854,               0.001585,               0.001585,               0.001585
                     87,                0.85058,                0.67942,                 1.1878,                 0.9146,                0.87161,                0.92848,                0.69246,                0.99958,                0.58968,                 1.2851,               0.001486,               0.001486,               0.001486
                     88,                0.84306,                0.67161,                 1.1834,                  0.913,                0.87287,                 0.9293,                0.69266,                0.99931,                0.58931,                 1.2849,               0.001387,               0.001387,               0.001387
                     89,                0.84395,                 0.6714,                 1.1871,                0.90957,                0.87864,                0.92969,                0.69302,                0.99916,                0.58836,                 1.2849,               0.001288,               0.001288,               0.001288
                     90,                0.83933,                0.66698,                 1.1821,                0.91108,                0.87366,                0.92982,                0.69347,                0.99899,                0.58791,                 1.2849,               0.001189,               0.001189,               0.001189
